날짜,회사,그룹,제목,요약,매체,링크,회차
2026-07-23 13:42,카카오페이,핀테크,"신호철 ""증권사 편 아닌 고객 편 AI""…카카오페이證, 미국·IB로 확장","카카오페이증권, 고객 편 AI 기반 투자에이전트 개발 / 투자 판단을 돕는 설명 가능한 AI를 연말 공개 예정 / 미국·IB로 확장하고 K-주식 글로벌 플랫폼 구축 중 / 생애주기 투자문화 구축과 IPO·ETF LP 확대 추진 중",,http://www.metroseoul.co.kr/article/20260723500206,52
2026-07-23 11:49,카카오페이,핀테크,"카카오페이證 ""2000만 투자 시대 열겠다…K-주식 세계화 목표""","카카오페이증권, 2000만 투자 인구 확대 목표 / 미국 시버트파이낸셜과 협력해 해외 투자자 한국 주식 투자 증가 추진 중 / 1인 1 AI 투자 에이전트 제공 및 신생아에 10만원 상당 주식 증정 예정",,https://www.newspim.com/news/view/20260723000613,51
2026-07-23 11:36,농협손보,NH,"NH농협손보, 양자내성암호 기반 보안체계 도입","NH농협손보, 양자내성암호 기반 보안체계 도입 / 양자컴퓨터로도 해독이 어려운 수학적 알고리즘 기반의 차세대 암호 기술 적용 / 고객 인증과 전자서명, 중요 정보 입력 등 주요 구간에 기술 적용 예정 / 디지털 채널 전반과 주요 업무시스템으로 적용 범위를 단계적으로 확대 중",,https://sateconomy.co.kr/news/view/1065573590496944,51
2026-07-23 11:18,네이버페이,핀테크,네이버페이 'Npay 연금' 출시…AI가 노후 준비 점검,"네이버페이, AI 기반 맞춤형 연금 관리 서비스 / 국민·퇴직·개인연금 통합 조회와 맞춤 관리 제공 중 / AI와 이용자 데이터를 활용해 개인별 연금 자산 분석과 관리 방안 제공 예정 / 연금 전문가 무료 상담과 연금 계산기 기능 지원 중",연합뉴스,https://n.news.naver.com/mnews/article/001/0016210481?sid=102,51
2026-07-23 10:40,하나은행,하나,"""간판 바꾸고 AI 배우고""…하나은행, 소상공인 3500곳 지원",,,https://www.ajunews.com/view/20260723100923539,51
2026-07-23 10:38,KB국민은행,KB,"KB국민은행, 블록체인 결제 확산 추진…소상공인 정산 혁신 기대",,,https://www.viva100.com/article/20260723500404,51
2026-07-23 10:36,교보증권,비지주,"""플랜티넷, 안정적 본업에 데이터 사업 성장 기대"" - 교보증권","플랜티넷, 안정적 본업에 데이터 사업 성장 기대 / 디지털 케어 사업의 안정적인 성장과 데이터 사업 확대 중 / 디지털 매거진 플랫폼 '모아진'을 중심으로 데이터 사업 확대 중 / AI 기반 인터넷 환경 변화에 따른 디지털 케어 사업 성장세 유지 중",,https://www.newspim.com/news/view/20260723000397,50
2026-07-23 10:36,토스뱅크,핀테크,"토스·토스뱅크, 써클과 맞손…스테이블코인 결제 인프라 협력 추진","토스·토스뱅크, 스테이블코인 결제 인프라 협력 추진 / 블록체인 기반 결제 인프라 구축 가능성 모색 중 / 스테이블코인 기술을 활용한 결제·정산 인프라 구축 검토 중 / 원화 기반 디지털 자산과 토큰화 금융서비스 분야 협력 가능성 검토 중",,https://www.viva100.com/article/20260723500390,50
2026-07-23 10:32,하나금융,하나,"하나금융·두나무, 디지털 자산 협력 확대…전략적 파트너십 강화","하나금융그룹, 디지털 자산 협력 확대(w/두나무) / 전통 금융과 디지털 자산 산업 간 협업을 위한 전략적 파트너십 체결 / 원화 입출금 계좌 연계와 토큰증권(STO), 실물자산 토큰화(RWA) 협력 가능성 모색 중 / 디지털 자산 관련 제도 정비와 제도권 디지털 자산 분야 협력 추진 중",,http://www.nongaek.com/news/articleView.html?idxno=96184,50
2026-07-23 10:30,토스,핀테크,카카오 이어 토스도 서클과 협력… 코인결제 인프라 구축 본격화,"토스, 서클과 협력하여 스테이블코인 결제 인프라 구축 / 블록체인 기반 결제 및 정산 인프라 분야 협력 추진 중 / 디지털 지갑, 결제·정산 인프라 등 다양한 분야 활용 가능성 검토 중 / 규제 준수, 리스크 관리, 보안 및 자금세탁방지 협력 진행 중",머니투데이,https://n.news.naver.com/mnews/article/008/0005389785?sid=101,50
2026-07-23 10:22,우리은행,우리,"우리은행, 네이버페이와 제휴… 퇴직연금 비대면 상담·가입 연계 강화","우리은행, 네이버페이와 제휴한 퇴직연금 비대면 상담 서비스 / 네이버페이 플랫폼 내 ‘연금홈’ 메뉴에서 전문 상담 서비스 제공 / 우리WON뱅킹으로 연결되는 링크 전송 및 IRP 상품 신규 개설 지원 중 / Npay 포인트 지급 프로모션 및 자금 유입액에 따른 구간별 혜택 제공 예정",,https://www.viva100.com/article/20260723500305,50
2026-07-23 10:10,KB국민은행,KB,"KB국민은행, 과기부 주관 '예금토큰 기반 결제 인프라 확대 사업' 참여","KB국민은행, 예금토큰 기반 결제 인프라 확대 사업 참여 / 결제망을 활용해 가맹점의 예금토큰 결제 지원과 정산주기 단축을 추진 중 / 소상공인 결제 혁신과 중소기업 기술 협력으로 포용적 디지털 금융 생태계 조성 예정 / 민간 결제 인프라 구축을 목표로 하는 블록체인 혁신선도 프로젝트 참여",,http://www.efnews.co.kr/news/articleView.html?idxno=131154,50
2026-07-23 09:44,네이버페이,핀테크,“내 또래 ‘연금 고수’ 상위 30%의 관리비법은?”…‘네이버페이 연금...,,헤럴드경제,https://n.news.naver.com/mnews/article/016/0002673826?sid=101,50
2026-07-23 09:40,우리은행,우리,"우리은행, 네이버페이 '연금홈' 입점…IRP 상담 제공","우리은행, 네이버페이와의 제휴를 통해 개인형IRP 상담 서비스 제공 / 네이버페이 내 '연금홈'에서 우리은행 연금 상담을 선택해 이용할 수 있는 비대면 서비스 / 우리은행 연금 전문 상담사가 개인형IRP 상품 운용 등에 대한 상담을 제공하는 금융 서비스 / 우리WON뱅킹 앱을 거치지 않고 모바일 웹에서 바로 개인형IRP에 가입할 수 있도록 절차를 간소화하는 금융 혁신",,https://www.ajunews.com/view/20260723085924337,50
2026-07-23 09:40,KB증권,KB,"""60만전자 현실화되나"" KB증권, 삼성전자 구글 AI 최대 수혜주 분석","KB증권, 삼성전자 구글 AI 최대 수혜주 분석 / 구글 AI 생태계 성장에 따른 수혜로 실적 랠리 가시화 중 / 3분기 매출액 209조원, 영업이익 110조원으로 예상되는 실적 전망 / 하반기 영업이익 234조원에 이를 전망, 메모리 사업 내 AI 데이터센터 매출 비중 확대 중",이코노미스트,https://n.news.naver.com/mnews/article/243/0000100757?sid=101,50
2026-07-23 09:31,농협손해보험,NH,"농협손해보험, 디지털채널에 양자내성암호 'PQC' 도입","NH농협손해보험, 양자내성암호 'PQC' 기반 보안체계 도입 / 양자컴퓨터로도 해독이 어려운 복잡한 수학적 알고리즘 기반 차세대 암호 기술 적용 / 고객 인증, 전자서명, 중요 정보 입력 등 주요 구간에 기술 적용, 강화된 보안 환경 제공 / 차세대 암호체계 전환을 위한 전략적 투자, 미래 보안환경에 선제적으로 대응 중",전자신문,https://n.news.naver.com/mnews/article/030/0003450128?sid=101,52
2026-07-23 09:20,농협손보,NH,"농협손보, 양자컴퓨터도 못 푸는 암호 도입…디지털 보안 강화",,,https://www.ajunews.com/view/20260723085611330,50
2026-07-23 09:13,네이버페이,핀테크,"네이버페이서 IRP 상담받는다…우리은행, 제휴 서비스 오픈","우리은행, 네이버페이와 제휴한 IRP 상담 서비스 오픈 / 네이버페이의 연금홈에서 우리은행을 선택하면 비대면으로 연금 전문 상담사와 연결되는 시스템 / 고객은 우리WON뱅킹 앱 링크를 통해 즉시 IRP 계좌를 신규 개설할 수 있는 프로세스 / 원스톱 프로세스 구축을 통해 진입 장벽을 낮추는 것을 목표로 하는 서비스 제공 중",디지털타임스,https://n.news.naver.com/mnews/article/029/0003038443?sid=101,51
2026-07-23 09:07,네이버페이,핀테크,'네이버페이 연금' 오픈…흩어진 자산 AI로 진단,"네이버페이, AI 기반 맞춤형 연금 관리 솔루션 제공 / 사용자의 연금 자산을 한곳에 모으고 AI 진단으로 노후 준비 지원 / 또래 비교 기능과 맞춤형 솔루션을 메시지 카드 형태로 제공하는 서비스 / 연금 계산기와 무료 상담 등 목표 은퇴 생활비 달성을 위한 실행 전략 제공 중",아시아경제,https://n.news.naver.com/mnews/article/277/0005793462?sid=101,50
2026-07-23 09:00,KB국민카드,KB,"다이퀘스트·KB국민카드, 생성형 AI 기반 하이브리드 챗봇 구축 협력 확...","다이퀘스트·KB국민카드, 생성형 AI 기반 하이브리드 챗봇 구축 협력 / 기존 챗봇의 상담 처리 기능에 생성형 AI의 자연어 이해 및 답변 생성 기능을 결합한 디지털 고객 상담 체계 / 하이브리드 챗봇은 고객 질문을 비정형 질문 자동 보정, 복합 질문 처리, 생성형 AI 기반 답변 생성의 세 단계로 처리하는 구조 / 다이퀘스트의 자연어처리 엔진과 생성형 AI 기술을 결합한 금융 상담 서비스 구축 중",,https://www.itbiznews.com/news/articleView.html?idxno=219758,50
2026-07-23 08:51,우리은행,우리,"우리은행, 네이버페이에 개인형IRP 상담 서비스 출시","우리은행, 개인형IRP 비대면 상담 서비스 출시 / 네이버페이 내 '연금홈'을 통해 이용할 수 있는 서비스 / 우리은행 연금 전문 상담사와 비대면으로 개인형IRP 상품 운용 등을 상담받을 수 있는 구조 / 우리WON뱅킹 앱으로 이동해 개인형IRP 신규 가입을 완료할 수 있는 절차",,https://www.newspim.com/news/view/20260723000149,50
2026-07-23 06:20,하나금융,하나,"스위프트 대신 '기와체인'… 하나금융·두나무, 해외송금 혁신 속도","하나금융그룹, 해외송금 혁신 서비스(w/두나무) / 레이어2 블록체인 '기와체인'을 활용한 실시간 거래 처리 기술 / 기와체인으로 중개 절차를 줄여 송금 비용을 낮추는 블록체인 기반 서비스 / 혁신금융서비스 지정 준비 중으로 규제 특례를 적용받아 서비스를 시범 운영할 수 있는 금융 생태계 구축 예정",,https://it.chosun.com/news/articleView.html?idxno=2023092166236,49
2026-07-22 18:00,토스,핀테크,"토스, 빅테크 첫 금융그룹 지정…내부통제 관건",,,https://www.sentv.co.kr/article/view/sentv202607220105,47
2026-07-22 17:59,카카오뱅크,핀테크,청소년 불법도박 막는다…카카오뱅크 ‘제로라운드’ 프로젝트 추진,"카카오뱅크, 청소년 불법도박 예방 교육 프로젝트 추진 / 교육부·금융감독원·푸른나무재단과 업무협약 체결 / 전국 170개 학교 4만 명 청소년 대상 프로그램 운영 중 / 도박 예방 체험형 연극과 자가진단 테스트 제공 예정",이코노미스트,https://n.news.naver.com/mnews/article/243/0000100745?sid=101,46
2026-07-22 17:56,IBK기업은행,정책,"IBK기업은행, 영업점 변동형 주담대 판매 중단","IBK기업은행, 변동형 주택담보대출 판매 중단 / 가계대출 총량 관리를 위한 조치로 영업점에서 판매 중단 / 비대면 채널을 통한 주담대는 정상적으로 이용할 수 있는 상태 / 영업점에서는 5년·10년 주기형 고정금리 주담대만 이용할 수 있는 상황",디지털데일리,https://n.news.naver.com/mnews/article/138/0002235013?sid=101,46
2026-07-22 17:38,KB국민은행,KB,"KB국민은행, 삼성물산과 손잡고 아파트 입주민 대상 자산관리 서비스 강...","KB국민은행, 아파트 입주민 대상 자산관리 서비스 강화(w/삼성물산) / 주거 플랫폼과 세금 인공지능을 연계한 맞춤형 금융 상담과 세무 지원 추진 중 / 삼성물산의 홈플랫폼 '홈닉'과 뉴아이의 세금 인공지능 플랫폼 '택스아이' 연계 서비스 제공 예정 / 입주민의 종합자산관리 서비스 제공을 위한 전략적 업무협약 체결 완료",,https://www.tokenpost.kr/news/tech/380134,46
2026-07-22 17:22,부산은행,지방,"BNK부산은행 ""하반기 최우선 과제는 지역경제 회복""","BNK부산은행, 지역경제 회복을 하반기 최우선 과제로 내걸음 / 산업금융·해양금융·가치금융을 앞세워 지역기업 동반성장 추진 / 지역 자금의 수도권 유출과 시중은행·인터넷은행의 공세를 지역 밀착으로 승부수를 던진다 / 지역은행의 존재 이유를 다시 세우겠다는 전략으로 읽힌다",노컷뉴스,https://n.news.naver.com/mnews/article/079/0004171019?sid=102,46
2026-07-22 17:00,신한은행,신한,"신한은행, 소상공인 '매출·매입' 데이터로 신용평가…KCS와 맞손","신한은행, 소상공인 신용평가 협력(w/KCS) / 홈택스 기반 매출·매입 데이터 공급으로 사업 흐름 분석 지원 / 매입 정보를 통한 리스크 포착과 매출·매입 흐름 추적 가능성 확대 / 금융기관의 선제적 리스크 관리와 정밀한 사후 관리를 뒷받침하는 데이터 제공 중",머니투데이,https://n.news.naver.com/mnews/article/008/0005389433?sid=101,46
2026-07-22 16:57,토스뱅크,핀테크,"“첫 체크카드로 롯데월드 가자”…토스뱅크, ‘알파세대’ 정조준 혜택",,디지털타임스,https://n.news.naver.com/mnews/article/029/0003038351?sid=101,46
2026-07-22 16:56,교보증권,비지주,"교보증권, AI 투자정보 서비스 '스톡나우' 무료 이용권 제공","교보증권, AI 투자정보 서비스 '스톡나우' 제공 / AI 기반 투자정보 플랫폼 '스톡나우Pro' 무료 이용권 제공 예정 / 고객 전원에게 서비스 무료 이용권 지급, 참여 신청 메뉴에서 신청 가능 / 고객 투자 편의성 높이고 데이터 기반의 스마트한 투자 전략 수립 지원 목적",,https://www.sentv.co.kr/article/view/sentv202607220181,46
2026-07-22 16:52,KB국민은행,KB,"KB국민은행, AI 전문가 정윤경 교수 사외이사 추천","KB국민은행, AI 전문가 정윤경 교수 사외이사 추천 / 정윤경 교수, AI·데이터 분석 분야 권위자로 다양한 국가·산업 연구를 주도 / 정 교수, 한국정보과학회 인공지능 소사이어티 이사로 활동 중 / 정윤경 교수, 임기 2028년 3월 정기주총까지 사외이사로 활동 예정",,https://www.newspim.com/news/view/20260722001191,46
2026-07-22 16:39,신한은행,신한,"신한은행 베트남 ""정부 고품질 FDI 정책 맞춰 첨단 외자기업 등 우선 지...",,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005551481?sid=101,46
2026-07-22 16:10,KB국민은행,KB,"은행권 덮친 AI 물결… KB국민은행, 이사회에 'AI 석학' 수혈",,,https://www.smarttoday.co.kr/ko-kr/articles/109711,47
2026-07-22 16:02,IBK기업은행,정책,"CJ올리브네트웍스, IBK기업은행과 함께 100억 상생펀드","CJ올리브네트웍스, IBK기업은행 상생펀드 / 100억원 규모 상생펀드 조성, 전략협력사 저금리 대출 지원 / 보증보험 면제, 대금 지급 조건 개선, 판로 지원 등 다양한 지원 제공 / 지역사회와 미래세대를 위한 상생활동 진행 중",매일경제,https://n.news.naver.com/mnews/article/009/0005710750?sid=101,46
2026-07-22 15:35,KB증권,KB,"KB증권, 영업점·전화·모바일…연금 관리 언제든 상담하세요",,한국경제,https://n.news.naver.com/mnews/article/015/0005312580?sid=101,46
2026-07-22 15:31,우리금융,우리,"우리금융, 4인 가족 1만원대 야외활동 보험…호캉스 전용 카드","우리금융, 4인 가족 1만원대 야외활동 보험 제공 / 우리투자증권, 국내 주식 거래 수수료 무료 혜택 제공 중 / 동양생명, 등산이나 캠핑 등 야외활동 중 발생하는 사고에 대비한 미니보험 출시 / 우리카드, 아코르 호텔 특화 혜택을 담은 프리미엄 카드 운영 중",한국경제,https://n.news.naver.com/mnews/article/015/0005312577?sid=101,46
2026-07-22 15:25,카카오페이증권,핀테크,올해 결혼하면 삼전·하닉 주식 받는다…카카오페이증권 신혼부부 캠페...,"카카오페이증권, 결혼한 부부에게 삼전·하닉 주식 지급 캠페인 / 혼인신고 완료한 고객에게 5만 원 상당의 국내 주식 지급, 최대 10만 원 상당 지급 가능 / 재혼도 가능, 법적 혼인신고를 하지 않은 사실혼 관계는 제외, 지급 주식은 무작위로 배정되는 과정 / 결혼한 부부의 투자와 자산 형성을 지원하는 캠페인 진행 중",동아일보,https://n.news.naver.com/mnews/article/020/0003735702?sid=101,46
2026-07-22 15:23,국민은행,KB,"국민은행, ‘홈닉’으로 주거·금융 잇는다…입주민 맞춤 자산관리","KB국민은행, 주거와 금융 연계 서비스 제공 / 입주민 맞춤 자산관리 서비스를 위한 협약 체결 / 홈닉 앱을 통해 종합자산관리 서비스 제공 예정 / 금융과 비금융을 아우르는 종합 컨설팅 서비스 지원 중",이코노미스트,https://n.news.naver.com/mnews/article/243/0000100739?sid=101,47
2026-07-22 15:22,국민은행,KB,"국민은행, 삼성물산·뉴아이와 ‘주거·금융 WM 시너지’ 구축","KB국민은행, 주거·금융 WM 시너지 구축 / 국민은행은 삼성물산, 뉴아이와 전략적 업무협약(MOU) 체결 / 협약은 입주민에게 종합자산관리 서비스 제공 / 서비스는 부동산·세무·법률 종합자산관리, AI 기반 부동산 세금 시뮬레이션, 금융 혜택 등 제공",디지털타임스,https://n.news.naver.com/mnews/article/029/0003038297?sid=101,48
2026-07-22 15:21,부산은행,지방,BNK부산은행 “산업·해양·포용금융 실현”…기업 성장단계별 지원,,매일경제,https://n.news.naver.com/mnews/article/009/0005710719?sid=101,46
2026-07-22 15:19,토스뱅크,핀테크,"""안생 첫 체크카드는 토스뱅크에서""...아이카드 신규 고객 한달새 3.2만...",,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005551414?sid=101,46
2026-07-22 15:18,토스,핀테크,"토스, 'CEO 프로젝트 리드' 신설…이승건式 혁신 속도","토스, 핵심 프로젝트 추진을 위한 'CEO 프로젝트 리드' 신설 / 주요 서비스와 제품 전략을 검토하고 핵심 프로젝트를 추진하는 역할을 맡는 조직 / 토스뱅크 성장 조직을 이끌었던 조현민 리드가 초대 CEO 프로젝트 리드에 배치됨 / 사업 확장에 맞춰 임직원 수도 1년 만에 76.4% 늘어난 상황에서 프로젝트 조율 역할 필요성 증가",,https://www.ajunews.com/view/20260722142824311,46
2026-07-22 15:12,농협카드,NH,(단독)'플라스틱카드 없는 동남아 공략' 농협카드도 해외 QR결제 경쟁 가...,,,http://www.newstomato.com/ReadNews.aspx?no=1307855&inflow=N,46
2026-07-22 15:10,신한은행,신한,"진옥동 2기, AX·DX는 생명줄…신한은행 '슈퍼SOL' 무한확장","신한은행, 디지털 자산 생태계 주도권 경쟁 / AX·DX 기술을 기반으로 디지털 월렛 인프라 구축 중 / 모바일 신분증 탑재 및 차세대 자산 관리 기능 확대 예정 / 일상과 디지털 자산의 융합을 통한 디지털 지갑 서비스 제공 중",,https://www.newsway.co.kr/news/view?ud=2026072214145062428,46
2026-07-22 14:52,신한은행,신한,"직원도 몰랐던 ‘손님’의 정체…신한은행, 고객 서비스 16년 연속 1위",,,https://www.wikitree.co.kr/articles/1147820,46
2026-07-22 14:42,신한은행,신한,"신한은행 베트남, 신재생에너지 등 친환경 사업 대출 확대",,,https://www.theguru.co.kr/news/article.html?no=104744,46
2026-07-22 14:18,삼성생명,비지주,"삼성생명, 다이렉트보험 가입 시 네이버페이 최대 3만 포인트 제공 이벤...",,,http://www.breaknews.com/1223436,46
2026-07-22 14:10,SC제일은행,해외,"SC제일은행, '도곡 프라이빗 뱅킹 센터' 개설…자산관리 거점 확대",,,https://magazine.hankyung.com/money/article/202607229264c,46
2026-07-22 14:06,IBK기업은행,정책,"웹케시, IBK기업은행 디지털뱅킹 리빌딩 수주",,,https://www.smarttoday.co.kr/ko-kr/articles/109700,46
2026-07-22 11:46,카카오뱅크,핀테크,청소년 도박·금융피해 막는다…정부·카카오뱅크 손잡고 학교 예방교육...,,,https://www.gosiweek.com/article/1065580922283192,47
2026-07-22 11:26,한국투자증권,비지주,"한국투자증권, 랩서비스 가입 이벤트 실시…AI 기반 자산관리 확대",,,https://www.socialvalue.kr/news/view/1065579766645878,46
2026-07-22 11:17,NH투자증권,NH,NH투자증권 DC·IRP 비보장형 5년 수익률 증권업 1위,"NH투자증권, DC·IRP 비보장형 5년 수익률 1위 / DC 연 12.57%·IRP 연 11.83% 수익률 기록 / IRP 원리금비보장 10년 수익률 연 10.35% 최고 / 퇴직연금 평가에서 2년 연속 우수사업자 선정",,https://www.newspim.com/news/view/20260722000594,46
2026-07-22 11:05,토스뱅크,핀테크,토스뱅크의 마지막 퍼즐 '주담대'…출범 5년 만에 여신 다변화,,동행미디어 시대,https://n.news.naver.com/mnews/article/417/0001152506?sid=101,46
2026-07-22 10:43,카카오뱅크,핀테크,"지점 없는 은행의 첫 파업…카카오뱅크, '앱 금융' 업무연속성 시험대",,더팩트,https://n.news.naver.com/mnews/article/629/0000517945?sid=101,46
2026-07-22 10:31,네이버페이,핀테크,"“여름 대목 부담 덜어준다”…네이버페이, 영세 가맹점 수수료 지원",,디지털데일리,https://n.news.naver.com/mnews/article/138/0002234918?sid=101,46
2026-07-22 10:30,제주은행,신한,"제주은행, 지방은행 최초 생성형 AI 플랫폼 구축…전 직원 AI 업무 개시",,,https://www.newsjeju.net/news/articleView.html?idxno=423568,46
2026-07-22 10:22,신한카드,신한,"신한카드·SKT·KCB, 이민정책 데이터 연합체 구축","신한카드, 이민정책 데이터 연합체 구축(w/이민정책연구원, SKT, KCB) / 카드 소비 데이터와 통신 데이터, 신용정보 데이터를 연계해 외국인의 소비 패턴과 경제생활 실태를 분석하는 데이터 플랫폼 / 데이터 기반 이민정책 연구를 체계적으로 지원하고, 외국인 관련 사회·경제 동향 정책 연구를 진행하는 협력체 / 외국인 친화적인 사회 환경 조성과 데이터 기반의 이민정책 의제 발굴을 위한 협력사업 추진 중",,http://www.sportsq.co.kr/news/articleView.html?idxno=496624,46
2026-07-22 10:10,신한카드,신한,"신한카드, '카드 소비 데이터'로 외국인 국내 정착 지원","신한카드, 카드 소비 데이터 기반 외국인 국내 정착 지원 / 신한카드와 이민정책연구원, SKT, KCB의 데이터 연계를 통한 외국인 경제 생활 실태 분석 / 신한카드의 카드 소비 데이터와 SKT의 통신 데이터, KCB의 신용정보 데이터를 연계한 분석 지원 / 데이터 기반 이민 정책 연구를 체계적으로 지원하는 협력 중",,http://www.econotelling.com/news/articleView.html?idxno=20956,46
2026-07-22 09:52,KB자산운용,KB,반도체·전자·방산·우주 한 번에 투자…KB자산운용 ‘코리아 첨단전략...,"KB자산운용, 첨단전략산업 투자 펀드 출시 / 12대 첨단전략산업에 집중 투자해 성장성과 안정성을 추구하는 펀드 운용 중 / 주식과 채권에 분산 투자해 목표수익률 달성 시 채권형으로 전환하는 구조 구축 중 / KB국민은행, BNK경남은행, 미래에셋증권, 카카오뱅크, 한국투자증권에서 가입 가능하다",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002673226?sid=101,46
2026-07-22 09:44,카카오페이증권,핀테크,"카카오페이증권, 신혼부부에 최대 10만원 상당 국내주식 증정",,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005551141?sid=101,47
2026-07-22 09:28,신한은행,신한,"[SFS 2.0]AX로 바뀌는 신한은행 영업현장…""기술보다 현장이 답""",,비즈워치,https://n.news.naver.com/mnews/article/648/0000049076?sid=101,46
2026-07-22 09:22,카카오페이증권,핀테크,"결혼하면 삼성전자·하이닉스 받는다…카카오페이증권, 최대 10만원 쏜다",,,https://www.newspim.com/news/view/20260722000170,46
2026-07-22 09:22,현대카드,비지주,"현대카드, 상반기 해외결제액 첫 2조원 돌파… 국내 카드사 1위 수성",,헤럴드경제,https://n.news.naver.com/mnews/article/016/0002673197?sid=101,46
2026-07-22 09:20,삼성생명,비지주,"삼성생명, ‘글로벌 인사이트 프로그램(Global Insight Program)’ 14기 개...","삼성생명, 글로벌 인사이트 프로그램(GIP) 14기 개설 / GIP는 2세대 자녀 교육 프로그램으로, 현명한 가업 승계를 위한 종합적인 교육을 제공 / 프로그램은 AI 프롬프트 엔지니어링, 와인 클래스, 경영·회계 시뮬레이션 등 다양한 강의와 활동을 통해 실무 적용 능력을 배양 / 해외연수 과정은 일본 도쿄를 방문해 글로벌 AI·로보틱스 등 혁신 사례를 탐방하고, 팀별 프로젝트를 수행",매일경제,https://n.news.naver.com/mnews/article/009/0005710470?sid=102,46
2026-07-22 09:20,한양증권,비지주,"한양증권, 연 8% 특판 RP 출시…1000계좌 한정 판매",,,https://www.newspim.com/news/view/20260722000144,46
